region,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,total
Вінницька область,36,381,576,872,871,657,2801,4148,7063,5095,22500
Волинська область,3,277,628,1460,1415,1688,2588,5495,10581,8881,33016
Дніпропетровська область,9,338,595,145,315,947,3473,9249,23718,19772,58561
Донецька область,6,62,95,318,400,537,2059,6915,12415,13584,36391
Житомирська область,5,369,365,665,446,1452,2621,8334,15654,9291,39202
Закарпатська область,1,418,770,1691,2266,2370,2303,4651,8723,5007,28200
Запорізька область,13,230,201,128,218,806,2399,5914,20966,23213,54088
Івано-Франківська область,45,817,540,993,2162,4619,4524,6692,16042,6756,43190
Київська область,52,612,909,1012,1131,1953,3470,7325,21223,21517,59204
Кіровоградська область,4,387,120,135,57,111,294,1406,2772,3162,8448
Луганська область,2,31,14,33,46,189,734,2586,2639,4234,10508
Львівська область,6,424,1239,3766,4091,4984,5840,9478,16250,15190,61268
Миколаївська область,0,126,167,151,146,662,1911,4619,10753,12365,30900
Одеська область,11,266,611,810,1516,4069,6246,11094,20326,26176,71125
Полтавська область,1,202,67,44,126,349,1442,7332,12492,14024,36079
Рівненська область,13,624,1076,1999,2312,3158,3229,6747,11798,10034,40990
Сумська область,10,92,66,129,188,985,2753,7527,17081,11811,40642
Тернопільська область,78,701,390,750,1057,3038,7500,7155,7180,6174,34023
Харківська область,1,248,817,1068,1577,5365,9602,17619,19044,14036,69377
Херсонська область,1,110,67,13,36,169,738,2826,6189,7603,17752
Хмельницька область,3,79,362,359,335,1343,3587,9656,13853,9610,39187
Черкаська область,50,240,112,240,282,649,2449,5135,13767,16087,39011
Чернівецька область,90,1481,1778,1452,1074,4428,4143,7212,12074,6285,40017
Чернігівська область,2,48,117,369,287,1071,2233,4636,9612,11522,29897
м. Київ,107,1294,1584,2052,3204,5129,9408,14771,32929,40993,111471
