"region","cases"
"Вінницька область",26019
"Волинська область",36207
"Дніпропетровська область",66446
"Донецька область",43220
"Житомирська область",43633
"Закарпатська область",30812
"Запорізька область",64677
"Івано-Франківська область",47072
"Київська область",67942
"Кіровоградська область",9626
"Луганська область",13591
"Львівська область",69570
"Миколаївська область",38019
"м. Київ",126639
"Одеська область",80431
"Полтавська область",42504
"Рівненська область",45162
"Сумська область",45277
"Тернопільська область",37087
"Харківська область",76671
"Херсонська область",20385
"Хмельницька область",43260
"Черкаська область",45116
"Чернівецька область",44501
"Чернігівська область",33240
