Name,Value,ISO-Code
Afghanistan,55959,AFG
Albania,116123,ALB
Algeria,115008,DZA
Andorra,11199,AND
Angola,21265,AGO
Antigua and Barbuda,945,ATG
Argentina,2185747,ARG
Armenia,177104,ARM
Australia,29112,AUS
Austria,488042,AUT
Azerbaijan,238959,AZE
Bahamas,8658,BHS
Bahrain,129825,BHR
Bangladesh,555222,BGD
Barbados,3391,BRB
Belarus,300146,BLR
Belgium,801723,BEL
Belize,12370,BLZ
Benin,6501,BEN
Bhutan,868,BTN
Bolivia,258324,BOL
Bosnia and Herzegovina,142160,BIH
Botswana,34098,BWA
Brazil,11363380,BRA
Brunei,192,BRN
Bulgaria,275859,BGR
Burkina Faso,12305,BFA
Burma,142122,MMR
Burundi,2420,BDI
Cabo Verde,15986,CPV
Cambodia,1264,KHM
Cameroon,40622,CMR
Canada,908841,CAN
Central African Republic,5023,CAF
Chad,4274,TCD
Chile,879485,CHL
China,101292,CHN
Colombia,2294617,COL
Comoros,3618,COM
Congo (Brazzaville),9329,COG
Congo (Kinshasa),26846,COD
Costa Rica,209093,CRI
Cote d'Ivoire,36824,CIV
Croatia,249661,HRV
Cuba,59919,CUB
Cyprus,38879,CYP
Czechia,1376998,CZE
Denmark,219996,DNK
Diamond Princess,712,NA
Djibouti,6236,DJI
Dominica,156,DMA
Dominican Republic,245452,DOM
Ecuador,299216,ECU
Egypt,189639,EGY
El Salvador,61947,SLV
Equatorial Guinea,6456,GNQ
Eritrea,3038,ERI
Estonia,82286,EST
Eswatini,17225,NA
Ethiopia,172571,ETH
Fiji,66,FJI
Finland,65315,FIN
France,4075735,FRA
Gabon,16660,GAB
Gambia,4939,GMB
Georgia,274377,GEO
Germany,2559296,DEU
Ghana,86737,GHA
Greece,217018,GRC
Grenada,148,GRD
Guatemala,181974,GTM
Guinea,17592,GIN
Guinea-Bissau,3398,GNB
Guyana,9069,GUY
Haiti,12632,HTI
Holy See,27,VAT
Honduras,177168,HND
Hungary,498183,HUN
Iceland,6072,ISL
India,11333728,IND
Indonesia,1410134,IDN
Iran,1731558,IRN
Iraq,750264,IRQ
Ireland,225820,IRL
Israel,816198,ISR
Italy,3175807,ITA
Jamaica,29387,JAM
Japan,444977,JPN
Jordan,464856,JOR
Kazakhstan,272365,KAZ
Kenya,111935,KEN
"Korea, South",95176,KOR
Kosovo,76070,XKS
Kuwait,207249,KWT
Kyrgyzstan,86818,KGZ
Laos,48,LAO
Latvia,92906,LVA
Lebanon,411839,LBN
Lesotho,10528,LSO
Liberia,2030,LBR
Libya,143643,LBY
Liechtenstein,2601,LIE
Lithuania,204356,LTU
Luxembourg,57503,LUX
Madagascar,20155,MDG
Malawi,32746,MWI
Malaysia,320939,MYS
Maldives,21382,MDV
Mali,8813,MLI
Malta,25969,MLT
Marshall Islands,4,MHL
Mauritania,17410,MRT
Mauritius,711,MUS
Mexico,2157771,MEX
Micronesia,1,NA
Moldova,201909,MDA
Monaco,2097,MCO
Mongolia,3833,MNG
Montenegro,82610,MNE
Morocco,488181,MAR
Mozambique,64004,MOZ
MS Zaandam,9,NA
Namibia,40810,NAM
Nepal,275118,NPL
Netherlands,1160380,NLD
New Zealand,2422,NZL
Nicaragua,6537,NIC
Niger,4853,NER
Nigeria,160332,NGA
North Macedonia,111077,MKD
Norway,78946,NOR
Oman,145257,OMN
Pakistan,602536,PAK
Panama,347226,PAN
Papua New Guinea,1819,PNG
Paraguay,177593,PRY
Peru,1394571,PER
Philippines,611618,PHL
Poland,1868297,POL
Portugal,813152,PRT
Qatar,169284,QAT
Romania,850362,ROU
Russia,4321588,RUS
Rwanda,20057,RWA
Saint Kitts and Nevis,42,KNA
Saint Lucia,3989,LCA
Saint Vincent and the Grenadines,1674,VCT
Samoa,3,WSM
San Marino,4096,SMR
Sao Tome and Principe,2057,STP
Saudi Arabia,381708,SAU
Senegal,36569,SEN
Serbia,507959,SRB
Seychelles,3173,SYC
Sierra Leone,3934,SLE
Singapore,60080,SGP
Slovakia,333872,SVK
Slovenia,199004,SVN
Solomon Islands,18,SLB
Somalia,8820,SOM
South Africa,1526873,ZAF
South Sudan,9334,SSD
Spain,3183704,ESP
Sri Lanka,87286,LKA
Sudan,30873,SDN
Suriname,9012,SUR
Sweden,712527,SWE
Switzerland,570645,CHE
Syria,16328,SYR
Taiwan*,984,TWN
Tajikistan,13308,TJK
Tanzania,509,TZA
Thailand,26679,THA
Timor-Leste,170,TLS
Togo,7953,TGO
Trinidad and Tobago,7759,TTO
Tunisia,240617,TUN
Turkey,2850930,TUR
Uganda,40544,UGA
Ukraine,1487497,UKR
United Arab Emirates,422246,ARE
United Kingdom,4261398,GBR
Uruguay,69074,URY
US,29347338,USA
Uzbekistan,80392,UZB
Vanuatu,3,VUT
Venezuela,144786,VEN
Vietnam,2550,VNM
West Bank and Gaza,205652,XWB
Yemen,2729,YEM
Zambia,84240,ZMB
Zimbabwe,36423,ZWE
